stormID,regionID,masterTrackID,referenceLatitude,referenceLongitude,headingDirection,centralPressureDeficit,radiusOfMaximumWind,translationalSpeed,DSW
1,3,1,35.0069664699875,-76.1173312197615,-60,88,38.6,18.3,1.39782767410393E-09
2,3,1,35.0069664699875,-76.1173312197615,-60,78,108.4,28.8,0.00026116503371093
3,3,1,35.0069664699875,-76.1173312197615,-60,68,62,42.5,0.000960099280086684
4,3,1,35.0069664699875,-76.1173312197615,-60,58,46.6,31.9,0.000749832187517581
5,3,1,35.0069664699875,-76.1173312197615,-60,48,63.9,12,0.00086298070480372
6,3,1,35.0069664699875,-76.1173312197615,-60,38,72.3,18.6,0.00204554394993669
7,3,1,35.0069664699875,-76.1173312197615,-60,28,26.2,39.5,1.33119664569616E-06
8,3,2,35.3405316694652,-75.5024893075908,-60,88,113.5,24.7,3.27158437670893E-05
9,3,2,35.3405316694652,-75.5024893075908,-60,78,50.7,29.9,2.06025024029668E-05
10,3,2,35.3405316694652,-75.5024893075908,-60,68,25.8,31.4,2.0366916498058E-08
11,3,2,35.3405316694652,-75.5024893075908,-60,58,37.3,12,9.85427315343942E-05
12,3,2,35.3405316694652,-75.5024893075908,-60,48,77.4,43.5,0.000181587164106584
13,3,2,35.3405316694652,-75.5024893075908,-60,38,71.9,12.8,0.00170092692390005
14,3,2,35.3405316694652,-75.5024893075908,-60,28,39.4,39.5,1.59500416121877E-05
15,3,3,36.0411894821736,-75.6725514217197,-60,88,104.8,24,2.352810762601E-05
16,3,3,36.0411894821736,-75.6725514217197,-60,78,50.4,29.9,9.00589487345394E-06
17,3,3,36.0411894821736,-75.6725514217197,-60,68,39.3,12,5.08163668808495E-06
18,3,3,36.0411894821736,-75.6725514217197,-60,58,25.6,29.4,1.11709916981409E-07
19,3,3,36.0411894821736,-75.6725514217197,-60,48,81.6,44.3,0.00016545095998236
20,3,3,36.0411894821736,-75.6725514217197,-60,38,68.1,14.8,0.000863689515822119
21,3,3,36.0411894821736,-75.6725514217197,-60,28,41.8,40.4,7.6713433738085E-06
22,3,4,36.7888616205279,-75.9575667347043,-60,88,50.3,40,3.1632601831E-07
23,3,4,36.7888616205279,-75.9575667347043,-60,78,50.5,28.7,6.00229093118873E-06
24,3,4,36.7888616205279,-75.9575667347043,-60,68,107.2,26.1,0.000276369771211499
25,3,4,36.7888616205279,-75.9575667347043,-60,58,64.9,12,0.000233761157695626
26,3,4,36.7888616205279,-75.9575667347043,-60,48,28.2,34.5,2.80416161552228E-06
27,3,4,36.7888616205279,-75.9575667347043,-60,38,36.6,12.8,0.000135766506947731
28,3,4,36.7888616205279,-75.9575667347043,-60,28,75.1,37.9,4.69194449633513E-05
29,3,5,37.3136636629203,-75.7685010375188,-60,88,77.5,36.6,2.83558994169916E-07
30,3,5,37.3136636629203,-75.7685010375188,-60,78,35,26.1,2.49094621303817E-08
31,3,5,37.3136636629203,-75.7685010375188,-60,68,62.4,12,2.60327497914741E-05
32,3,5,37.3136636629203,-75.7685010375188,-60,58,109.3,25,0.000274299980795048
33,3,5,37.3136636629203,-75.7685010375188,-60,48,48.9,24.9,0.000387879224959086
34,3,5,37.3136636629203,-75.7685010375188,-60,38,57.7,40.5,0.00030522271920998
35,3,5,37.3136636629203,-75.7685010375188,-60,28,25,34.8,1.03953893295327E-05
36,3,6,37.8033496935956,-75.5173282714027,-60,88,72.4,31.2,1.73931389091151E-08
37,3,6,37.8033496935956,-75.5173282714027,-60,78,38.4,26.9,4.8707666353838E-08
38,3,6,37.8033496935956,-75.5173282714027,-60,68,52.8,35.3,5.95412413289028E-05
39,3,6,37.8033496935956,-75.5173282714027,-60,58,105.4,27.8,0.000349600310215933
40,3,6,37.8033496935956,-75.5173282714027,-60,48,63.8,13.8,0.000745320614786635
41,3,6,37.8033496935956,-75.5173282714027,-60,38,25,28.2,0.000125183418714815
42,3,6,37.8033496935956,-75.5173282714027,-60,28,61.3,46,3.34049950424666E-05
43,3,7,38.2303211069719,-75.1407065517754,-60,88,49.7,37.4,8.63818938678603E-11
44,3,7,38.2303211069719,-75.1407065517754,-60,78,78.2,12.4,5.54389194907308E-09
45,3,7,38.2303211069719,-75.1407065517754,-60,68,103.7,34.6,5.37004407760186E-05
46,3,7,38.2303211069719,-75.1407065517754,-60,58,41.4,12.4,5.25456073096925E-06
47,3,7,38.2303211069719,-75.1407065517754,-60,48,25,31.3,2.76673635061291E-05
48,3,7,38.2303211069719,-75.1407065517754,-60,38,47.6,20.2,0.000337218206423226
49,3,7,38.2303211069719,-75.1407065517754,-60,28,71.2,33.1,0.000103540819352557
50,3,8,38.8073472285097,-75.0879452162235,-60,88,46.6,17.7,1.01648399725072E-13
51,3,8,38.8073472285097,-75.0879452162235,-60,78,75.4,40.1,3.01601487924006E-06
52,3,8,38.8073472285097,-75.0879452162235,-60,68,103.5,20.8,1.94525840502377E-05
53,3,8,38.8073472285097,-75.0879452162235,-60,58,40.6,39.2,0.000113699166515658
54,3,8,38.8073472285097,-75.0879452162235,-60,48,66.8,35.8,0.000840707774440514
55,3,8,38.8073472285097,-75.0879452162235,-60,38,25.2,18.6,2.91074291185463E-05
56,3,8,38.8073472285097,-75.0879452162235,-60,28,57.9,13,2.3867429764601E-06
57,3,25,35.0136618144735,-76.1085100592325,-40,88,52.6,20.2,4.34495761665124E-07
58,3,25,35.0136618144735,-76.1085100592325,-40,78,104.7,21.4,0.000293532272658575
59,3,25,35.0136618144735,-76.1085100592325,-40,68,28.6,22.2,2.31453863548353E-08
60,3,25,35.0136618144735,-76.1085100592325,-40,58,72.7,41,0.00346899713935137
61,3,25,35.0136618144735,-76.1085100592325,-40,48,50.9,40.3,0.00198543612530378
62,3,25,35.0136618144735,-76.1085100592325,-40,38,38.5,35.9,0.000213579409680021
63,3,25,35.0136618144735,-76.1085100592325,-40,28,65.4,12,0.00165926765372574
64,3,26,35.2915656398729,-75.5165270934418,-40,88,53.5,29.7,1.04211848573883E-06
65,3,26,35.2915656398729,-75.5165270934418,-40,78,103.9,30.4,0.000495713131922494
66,3,26,35.2915656398729,-75.5165270934418,-40,68,37.1,12,8.36898396059714E-06
67,3,26,35.2915656398729,-75.5165270934418,-40,58,29,38,2.73661883284469E-06
68,3,26,35.2915656398729,-75.5165270934418,-40,48,79.7,13.5,0.000742837401305986
69,3,26,35.2915656398729,-75.5165270934418,-40,38,62.6,47.5,8.29271666035009E-05
70,3,26,35.2915656398729,-75.5165270934418,-40,28,50.4,22.8,0.00115381821845532
71,3,27,36.4143404842084,-75.8345245075798,-40,88,43.7,24.2,2.97860707948889E-09
72,3,27,36.4143404842084,-75.8345245075798,-40,78,66.1,44.9,4.5471993259872E-05
73,3,27,36.4143404842084,-75.8345245075798,-40,68,116.7,25.4,0.000540021038637901
74,3,27,36.4143404842084,-75.8345245075798,-40,58,51.6,16.9,0.000411043032187365
75,3,27,36.4143404842084,-75.8345245075798,-40,48,26.2,20.3,5.10059086713636E-06
76,3,27,36.4143404842084,-75.8345245075798,-40,38,39,41.5,6.71797669656947E-05
77,3,27,36.4143404842084,-75.8345245075798,-40,28,74.4,23,0.000532069578200286
78,3,28,37.2145734667138,-75.8125486739083,-40,88,69.2,43.2,7.21637745817011E-07
79,3,28,37.2145734667138,-75.8125486739083,-40,78,52.7,15.9,5.71900763436221E-07
80,3,28,37.2145734667138,-75.8125486739083,-40,68,36.7,41.8,1.26367767405988E-05
81,3,28,37.2145734667138,-75.8125486739083,-40,58,103.4,23.1,0.000717348516888757
82,3,28,37.2145734667138,-75.8125486739083,-40,48,29.5,19,1.87576227941432E-05
83,3,28,37.2145734667138,-75.8125486739083,-40,38,62.1,37.8,0.000661842706160427
84,3,28,37.2145734667138,-75.8125486739083,-40,28,60.2,24.6,0.000259607590964266
85,3,29,37.7757439721174,-75.5360951713597,-40,88,52.8,35.1,6.02728721177408E-09
86,3,29,37.7757439721174,-75.5360951713597,-40,78,79,22.4,3.16356005895241E-06
87,3,29,37.7757439721174,-75.5360951713597,-40,68,31.7,22.4,5.04744300148886E-07
88,3,29,37.7757439721174,-75.5360951713597,-40,58,104.6,28.1,0.000736497930047909
89,3,29,37.7757439721174,-75.5360951713597,-40,48,55.4,12,0.000799772777097468
90,3,29,37.7757439721174,-75.5360951713597,-40,38,31.3,47.1,0.000126392117607282
91,3,29,37.7757439721174,-75.5360951713597,-40,28,59.4,39,0.000143284134166438
92,3,30,38.2171344180996,-75.1458190137564,-40,88,53.3,21.1,1.45869855525466E-12
93,3,30,38.2171344180996,-75.1458190137564,-40,78,41.9,22.4,1.38656777133442E-09
94,3,30,38.2171344180996,-75.1458190137564,-40,68,115.4,40,0.000101888655780308
95,3,30,38.2171344180996,-75.1458190137564,-40,58,25.1,32.6,2.28300203232161E-06
96,3,30,38.2171344180996,-75.1458190137564,-40,48,83.3,23.9,0.001534905454236
97,3,30,38.2171344180996,-75.1458190137564,-40,38,50,45.3,0.000672274212047518
98,3,30,38.2171344180996,-75.1458190137564,-40,28,45.6,12.6,0.000137033634098079
99,3,31,38.9004592804085,-75.0265239771545,-40,88,64.8,15.6,7.60742230321051E-12
100,3,31,38.9004592804085,-75.0265239771545,-40,78,54.2,43.9,1.14378013504469E-06
101,3,31,38.9004592804085,-75.0265239771545,-40,68,104.1,31.2,6.22670951947797E-05
102,3,31,38.9004592804085,-75.0265239771545,-40,58,44.3,17.1,1.06682880278478E-05
103,3,31,38.9004592804085,-75.0265239771545,-40,48,26.9,31.5,1.51200568136423E-06
104,3,31,38.9004592804085,-75.0265239771545,-40,38,45.9,25,0.000285666147516051
105,3,31,38.9004592804085,-75.0265239771545,-40,28,73.9,20.8,9.95672282725563E-06
106,3,50,35.0118909918529,-76.1108431297172,-20,98,65.6,38.1,6.22589875905239E-08
107,3,50,35.0118909918529,-76.1108431297172,-20,88,75.8,12,5.92948482711029E-06
108,3,50,35.0118909918529,-76.1108431297172,-20,78,41.8,20.6,5.86976740057894E-07
109,3,50,35.0118909918529,-76.1108431297172,-20,68,112.8,32,0.000640229258940216
110,3,50,35.0118909918529,-76.1108431297172,-20,58,25,23.4,3.8400723020055E-08
111,3,50,35.0118909918529,-76.1108431297172,-20,48,37.5,49.5,0.000150991687380675
112,3,50,35.0118909918529,-76.1108431297172,-20,38,62.3,29.9,0.00306628588896169
